Mineral,Category,Group,Formula,IMA status,Crystal system,Crystal class,Space group,Color,Crystal habit,Twinning,Cleavage,Fracture,Mohs scale,Luster,Streak,Diaphaneity,Specific gravity,Optical properties,Refractive index,Birefringence,Paleochroism,Melting point,Solubility,Common impurities,Other characteristics
Hornblende,Silicate mineral,C2/m,"Ca2(Mg,Fe,Al)5(Al,Si)8O22(OH)2",Unknown,Monoclinic,Unknown,Unknown,Black to dark green or brown,Hexagonal/granular,Unknown,Imperfect at 56° and 124°,Uneven,5–6,Vitreous to dull,"Pale gray, gray-white,[2][3]white, colorless[4]",Unknown,2.9,Unknown,Unknown,Unknown,Strong,Unknown,Unknown,Unknown,Unknown
Howlite,Inoborates,P21/c,Ca2B5SiO9(OH)5,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"White, colorless","Massive to nodular, occurs as tabular prisms flattened parallel to [100]",Unknown,None,"Conchoidal, uneven",3.5,"Subvitreous, glimmering",white,Translucent,2.53 – 2.59,"Biaxial (−), colorless (transmitted light)",nα= 1.583 – 1.586 nβ= 1.596 – 1.598 nγ= 1.600,δ = 0.017,Unknown,Unknown,Unknown,Unknown,Unknown
Hsianghualite,Tectosilicateminerals,"I213,[3]originally reported as 4 3 2[4]",475.4 g/mol,Unknown,Isometric,Tetartoidal (23)H-M symbol: (23),Unknown,White or colorless,trisoctahedral ordodecahedralcrystals or granular masses[4],Unknown,None,Unknown,6.5,Vitreous,White,Transparent to translucent,"2.97 to 3.00, measured[6]",Unknown,n = 1.6132[4],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Hubeite,Sorosilicate,P1,Ca2Mn2+Fe3+[Si4O12(OH)]·(H2O)2,Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,Dark to pale brown,Aggregates of inter-grown crystals,Unknown,One good cleavage parallel to c-axis,Conchoidal fracture,5.5,Vitreous,Orange-brown,Unknown,3.02,Biaxial (-) bire=0.0230,"nα=1.667, nβ=1.679, nγ=1.69",0.0230 (γ-α),Yes,Unknown,Unknown,Unknown,Unknown
Hübnerite,Oxide minerals,P21/c,MnWO4,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Yellowish brown to reddish brown, blackish brown, black; Deep red internal reflections in reflected light","Prismatic striated crystals, tabular to flattened, in radiating groups",Contact twins,Perfect on {010},Irregular/uneven,4–4+1⁄2,Metallic to adamantine towards resinous.,"Yellow to reddish brown, greenish gray",Transparent to translucent,7.12–7.18,Biaxial (+),"nα=2.17–2.2, nβ=2.22, nγ=2.3–2.32",0.1200–0.1300,"Perceptible; X = yellow to green, red-orange; Y = yellowish brown to greenish yellow, red-orange to red; Z = green; brick-red to red",Unknown,Unknown,Unknown,Unknown
Huemulite,Oxide mineral,P1(no. 2),Na4Mg(V10O28)·24H2O,Unknown,Triclinic,Unknown,Unknown,Yellowish orange to orange,Unknown,Unknown,Unknown,Unknown,2.5 to 3,Dull,Yellow,Translucent,2.39 g/cm3[3],Biaxial (-),nα= 1.679(3)nβ= 1.734(3)nγ= 1.742(2),δ = 0.063,Visible,500 °C (932 °F)[4],Soluble in water,Unknown,Unknown
Humite,Nesosilicates,Pbnm,"(Mg,Fe)7(SiO4)3(F,OH)2.",Unknown,Orthorhombic,Dipyramidal (mmm)H–M Symbol: (2/m 2/m 2/m),Unknown,"White, yellow, dark orange, brown",Unknown,Unknown,Poor,Uneven to subconchoidal,6–6.5,Vitreous,White,Transparent,3.20 – 3.32,Biaxial (+),"nα=1.607–1.643, nβ=1.619–1.653, nγ=1.639–1.675",0.0320,Unknown,Unknown,Unknown,Unknown,Unknown
Huntite,Carbonate mineral,R32,353 g/mol,Unknown,Trigonal,Trapezohedral (32)H-M symbol: (3 2),Unknown,"White, lemon white",Platy crystals; compact chalklike masses,Unknown,Unknown,Subconchoidal,1–2,Earthy (dull),White,Translucent,2.696,Uniaxial (–),nω= 1.622 nε= 1.615,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Hureaulite,Phosphate minerals,C2/c,728.65 g/mol,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Unknown,"Crystals are short prismatic parallel to (100) orequant, sometimes thicktabular, also massive or imperfectlyfibrous[2]",Unknown,{100} good,Uneven,3.5,Unknown,Nearly white,Transparent to translucent,"3.18–3.2 (measured), 3.23 (calculated)",Biaxial (−),nα= 1.640 – 1.654 nβ= 1.649 – 1.659  nγ= 1.655 – 1.662,δ = 0.012,"X colourless, Y yellow to pale rose, Z reddish yellow to reddish brown",Unknown,Easily soluble in acids.,Unknown,Unknown
Hutchinsonite,Sulfosalt mineral,Pbca,"(Tl,Pb)2As5S9",Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"Red, pink, black",Acicular – cccurs as needle-like crystals,Unknown,{100} good,"Very brittle fracture producing small, conchoidal fragments",1.5–2,Sub-metallic,Red,Subtranslucent to opaque,4.6,Biaxial (−),nα= 3.078nβ= 3.176nγ= 3.188; 2V = 37°,δ = 0.110,Unknown,Unknown,Unknown,Unknown,Unknown
Huttonite,Silicate mineral,P21/n,324.12 g/mol,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Colorless, cream, pale yellow","Prismatic, flattened; typically as anhedral grains",Unknown,"Distinct along [001], indistinct along [100]",Conchoidal,4.5,Adamantine,White,Transparentto translucent,7.1,Biaxial (+),"nα= 1.898,nβ= 1.900,nγ= 1.922",δ = 0.0240,Unknown,Unknown,Unknown,Unknown,Radioactive
Hydroboracite,Inoborates,P2/c,CaMgB6O8(OH)6·3H2O,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2,"Vitreous, silky",Unknown,Transparent,Unknown,Biaxial (+),nα= 1.520 – 1.523 nβ= 1.534 – 1.535 nγ= 1.569 – 1.571,δ = 0.049,Unknown,Unknown,Very poorly soluble in cold water. Partially dissolved by prolonged submersion in boiling water.,Unknown,Unknown
Hydrogrossular,Nesosilicate,Unknown,Ca3Al2(SiO4)3−x(OH)4x,Unknown,Cubic,Unknown,Unknown,"green to bluish green, pink, white, gray",Massive,Unknown,none,conchoidal,7–7.5,vitreous to subadamantine,Unknown,Unknown,4.15+0.05−0.03,"single refractive, anomalous aggregate reaction",1.810+0.004−0.020,none,none,Unknown,Unknown,Unknown,Unknown
Hydrohalite,Halide mineral,P21/c,NaCl·2H2O,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Transparent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Hydrokenoelsmoreite,Oxide minerals,Unknown,□2W2O6H2O,Unknown,3C polytype:Isometric6R polytype:Trigonal,3C polytype: Hexoctahedral (m3m)6R polytype: Rhombohedral (3),Unknown,White,Unknown,Unknown,None,Splintery,3,Adamantine,White,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Hydromagnesite,Carbonate mineral,P21/c,467.64 g/mol,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Colorless, white",Acicular and as encrustations; pseudo-orthorhombic,Polysynthetic lamellar on {100},"{010} Perfect, {100} Distinct",Uneven,3.5,"Vitreous, silky, pearly, earthy",White,Transparent to translucent,2.16–2.2,Biaxial (+),nα= 1.523 nβ= 1.527 nγ= 1.545,δ = 0.022,Unknown,Unknown,Unknown,Unknown,Unknown
Hydrotalcite,Carbonate mineral,R3m,Mg6Al2CO3(OH)16·4H2O,Unknown,3R polytype:Trigonal2H polytype:Hexagonal,3R polytype: Hexagonal scalenohedral (3m)H-M symbol: (32/m)2H polytype: Dihexagonal dipyramidal (6/mmm),Unknown,White with possible brownish tint,"Subhedral platey crystals, lamellar-fibrous, rarely euhedral prismatic; commonly foliated, massive",Unknown,"{0001}, perfect",Unknown,2,Satiny to greasy or waxy,White,Transparent,2.03–2.09,Uniaxial (−),nω= 1.511 – 1.531 nε= 1.495 – 1.529,δ = 0.016,Unknown,Unknown,Unknown,Unknown,Greasy feel
Hydroxylapatite,Phosphate mineralApatitegroup,P63/m,502.31 g/mol,Unknown,Hexagonal,Dipyramidal (6/m)H-M symbol(6/m),Unknown,"Colorless, white, gray, yellow, yellowish green","As tabular crystals and as stalagmites, nodules, in crystalline to massive crusts",Unknown,Poor on {0001} and {1010},Conchoidal,5,"Vitreous to subresinous, earthy",White,Transparent to translucent,"3.14–3.21 (measured), 3.16 (calculated)",Uniaxial (−),nω= 1.651 nε= 1.644,δ = 0.007,Unknown,Unknown,Unknown,Unknown,Unknown
Hydrozincite,Carbonate mineral,C2/m,Zn5(CO3)2(OH)6,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"White to grey, stained pale pink, or pale yellow or brown; colourless in transmitted light.","Lathlike or bladed crystals uncommon, in fibrous, stalactitic, reniform, pisolitic aggregates; also earthy, chalky, massive",Contact twinning on {100},Perfect on {100},Irregular/uneven,2–2+1⁄2,"Silky, pearly, dull, earthy",White,"Transparent, translucent",3.5–4,Biaxial (−),nα= 1.630 nβ= 1.642 nγ= 1.750,δ = 0.120,Unknown,Unknown,Readily soluble in acids.,Unknown,Unknown
Ianbruceite,Zincarsenates,P21/b,[Zn2(OH)(H2O)(AsO4)](H2O)2,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Sky blue to very pale blue at Tsumeb,  white to pale pink in the Caldbeck Fells",Radiating aggregates of lath-like crystals with a distinctive diamond-shaped outline {100},Unknown,Perfect parallel to (100),Crystals are flexible and deform plastically,1,Vitreous,White,Unknown,"Calculated, 3.197",Biaxial,"nα= 1.601, nβ= 1.660, nγ= 1.662",Unknown,Unknown,Unknown,Insoluble in dilute acid,Unknown,"It may dehydrate, and it can readily absorb alcohol. Not fluorescent under ultraviolet light"
Ice,Unknown,Unknown,H2O,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.309,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ichnusaite,Molybdate minerals,P21/b,Th(MoO4)2•3H2O,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Colorless,Unknown,Unknown,"{100}, perfect",Unknown,Unknown,Pearly adamantine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Radioactive
Icosahedrite,Native element mineral,IcosahedralH-M symbol:53mSpace group: Fm35[2],Al63Cu24Fe13,Unknown,Quasicrystal,Unknown,Unknown,"Dark grey, black",Subhedral to anhedral grains,Unknown,Unknown,Irregular,Unknown,Metallic,Grey,Opaque,Unknown,Isotropic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Idrialite,Organic mineral,Unknown,C22H14,Unknown,OrthorhombicUnknown space group,Unknown,Unknown,"Greenish yellow, light brown, colorless",Unknown,Unknown,"{001}, perfect; {100}, poor",Conchoidal,1.5,Vitreous to adamantine,Unknown,Unknown,1.236,Biaxial (+),nα= 1.557 nβ= 1.734 nγ= 2.07,Unknown,X = pale yellow; Y = Z = yellow,Unknown,Unknown,Unknown,Unknown
Ikaite,"Carbonate mineral, hydrous carbonates subgroup",C2/c[2],CaCO3·6H2O,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,White when pure,"Nearly square prism; pyramidal; sigmoidal: square prism capped with oppositely canted pyramids; massive, tubular (tinolite vr.)",Unknown,Unknown,Unknown,3,Dull,White,Unknown,1.83,Biaxial (−)[3],nα= 1.455nβ= 1.538nγ= 1.545[4],d= 0.090,Unknown,Unknown,Unknown,Unknown,Decomposes into water and calcite above 8 °C[3]
Illite,Phyllosilicateminerals,C2/m(no. 12),"(K,H3O)(Al,Mg,Fe)2(Si,Al)4O10[(OH)2,(H2O)]",Varietyofmuscovite,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Grey-white to silvery-white, greenish-gray",Micaceous aggregates,Unknown,{001} Perfect,Unknown,1–2,Pearly to dull,white,Translucent,2.6–2.9,Biaxial (−),nα = 1.535 – 1.570 nβ = 1.555 – 1.600 nγ = 1.565 – 1.605,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ilmenite,Oxide mineral,R3(no. 148),"Iron(II) titanium oxide,FeIITiO3",Unknown,Trigonal,Rhombohedral (3)H-M symbol: (3),Unknown,Iron-black; gray with a brownish tint in reflected light,Granular to massive and lamellar exsolutions in hematite or magnetite,"{0001} simple, {1011} lamellar",Absent; parting on {0001} and {1011},Conchoidalto subconchoidal,5–6,Metallic to submetallic,Black,Opaque,4.70–4.79,Uniaxial (–),Unknown,"Strong; O: pinkish brown, E: dark brown (bireflectance)",Unknown,Unknown,Unknown,Unknown,Weakly magnetic;Liquidus= 1710°C (peritectic)[2]
Ilsemannite,Minerals,Unknown,Mo3O8·nH2O,Unknown,Amorphous,Unknown,Unknown,"Black, blue-black, blue;Turns blue on exposure to sunlight",Unknown,Unknown,Unknown,Unknown,5.5 - 6,Unknown,Brownish black,Translucent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Soluble in H2O,Unknown,Unknown
Ilvaite,Sorosilicates,P21/a,Ca(Fe2+)2Fe3+[O|OH|Si2O7],Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5.5–6.0,Unknown,black,Unknown,3.8–4.1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Imogolite,Phyllosilicateminerals,Unknown,Al2SiO3(OH)4,Unknown,TetragonalUnknown space group,Unknown,Unknown,"White, blue, green, brown, black","Conchoidal to earthy masses of microscopic threadlike particles and bundles of fine tubes, each about 20Åin diameter",Unknown,Unknown,Unknown,2–3,"Vitreous, resinous, waxy",Unknown,Transparent to translucent,2.7,Isotropic,n=1.47–1.51,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Inderite,Minerals,P21/b,279.85,Unknown,Monoclinic,Prismatic (2/m),Unknown,"Colorless, white, pink; colorless in transmitted light",Unknown,Unknown,"Perfect on {010}, on {110} good",Uneven,2.5 – 3,"Vitreous, greasy, pearly, dull",Unknown,"Transparent, translucent",Unknown,Biaxial (+),nα= 1.488 nβ= 1.491 nγ= 1.505,0.017,None,Unknown,Soluble in hydrochloric acid,Unknown,Pearly on cleavages
Indite,Sulfide mineralThiospinel groupSpinel structural group,Fd3m,FeIn2S4,Unknown,Cubic,Hexoctahedral (m3m)H-M symbol: (4/m32/m),Unknown,Black,"Massive, granular",Unknown,Unknown,Unknown,5,Metallic,Unknown,Opaque,4.67,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Inesite,Inosilicates,P1(no.2),Ca2Mn7Si10O28(OH)2•5(H2O),Unknown,Triclinic,Unknown,Unknown,"Rose red, pink, orange-pink, orange-red-brown","Massive, fibrous, radial, spherical",Unknown,Perfect,Irregular/Uneven,5.5 - 6,"Vitreous, Silky",White,Translucent,3.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fe, Al, Mg, K",Unknown
Inyoite,Nesoborates,P21/a,CaB3O3(OH)5·4H2O,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Unknown,Commonly as prismatic to tabular crystals; also in cockscomb aggregates of pseudorhombohedral crystals; coarsely spherulitic or granular,Unknown,"Good on {001}, distinct on {010}",Irregular/uneven,2,Unknown,Unknown,Unknown,1.875,Biaxial (−),nα= 1.495 nβ= 1.505 – 1.512 nγ= 1.520,Maximum δ = 0.025,Unknown,Unknown,Unknown,Unknown,Unknown
Iodargyrite,Halide minerals,P6mm,AgI,Unknown,Hexagonal,Dihexagonal pyramidal (6mm)H-M symbol: (6mm),Unknown,"Colorless (fresh); pale yellow, yellow, greenish yellow, brownish, grayish",Unknown,Unknown,Unknown,Unknown,1+1⁄2– 2,"Adamantine, resinous",Yellow (shining),"Transparent, translucent",5.69,Uniaxial (+),nω= 2.210 nε= 2.220,δ = 0.010,Unknown,Unknown,Unknown,Unknown,Unknown
Iranite,Chromateminerals,Triclinic pedialH-M symbol: (1)Space group: P1,"Pb10Cu(CrO4)6(SiO4)2(F,OH)2",Unknown,Triclinic,Unknown,Unknown,Brown to orange,Equant to flattened euhedral crystals,Unknown,Unknown,Unknown,3,Vitreous,Yellow,Unknown,5.8,Biaxial,nα= 2.250 – 2.300 nγ= 2.400 – 2.500,δ = 0.150 – 0.200,Unknown,Unknown,Unknown,Unknown,Unknown
Iridium,Unknown,group 9,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"2719K​(2446 °C, ​4435 °F)",Unknown,Unknown,Unknown
Native iron,Native element mineral,Im3m,Fe,Unknown,Cubic,Hexoctahedral (m3m)H-M symbol: (4/m32/m),Unknown,"Steel-gray to iron-black, white in polished section","Massive, as interstitial blebs, rare as crystals",On {111} and on {112},{001}; with parting on {112},Hackly,4,Metallic,Unknown,Opaque,7.3–7.87,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ixiolite,Oxide minerals,Pbcn[2],"(Ta,Nb,Sn,Mn,Fe)4O8[1]or(Ta,Mn,Nb)O2[2]",Unknown,"Orthorhombic, some varieties might bemonoclinic[4][1]",Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"Steel-grey, black","Irregular granular or inclusions, also as prismatic crystals; some varieties might be pseudoorthorhombic",Uncommon on {013},Unknown,"Irregular/ uneven, sub-conchoidal",6 -6+1⁄2,Sub-metallic,Unknown,Opaque,7.03 - 7.23,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jacobsite,Oxide mineralsSpinel groupSpinel structural group,Fd3m(no. 227),"iron(II,III) manganese oxide, (Mn,Mg)Fe2O4",Unknown,Isometric,Hexoctahedral (m3m)H-M symbol: (4/m32/m),Unknown,Black to brownish black,"Disseminated to massive, rarely as octahedral crystals","Spinel law, flattened on {111} or lamellar","{111}, probably a parting",Conchoidal,5.5–6.5,Metallic,reddish black to brown,Opaque,4.76,Isotropic,~2.3,Unknown,Unknown,Unknown,Unknown,Unknown,weakly magnetic
Jadarite,Nesosilicate,P21/n,219.46 g/mol,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,White,As microscopic anhedral grains,Unknown,Unknown,Irregular to conchoidal,4 - 5,Dull,White,Translucent to opaque,2.45,Biaxial,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jadeite,Inosilicateminerals (single chain),C2/c,"NaAlSi2O6or Na(Al,Fe3+)Si2O6",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Apple-green, emerald-green, bluish green, leek-green, purplish blue, greenish white, white, black, may show green spots, rarely blue or violet; colorless in thin section. Often also banded.","Commonly massive, or fibrous, granular; prismatic crystals rare",Single and lamellar twinning on [100] and [001],Good on [110],Splintery,6.5–7,vitreous to greasy[2],White,Translucent,3.24 to 3.43,Biaxial (+),nα = 1.654 – 1.673 nβ = 1.659 – 1.679 nγ = 1.667 – 1.693,δ = 0.013 – 0.020,Unknown,Unknown,Unknown,Unknown,Unknown
Jaffeite,Minerals,Unknown,Ca6Si2O7(OH)6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jalpaite,Sulfide mineral,I41/amd,Ag3CuS2,Unknown,Tetragonal,Ditetragonal dipyramidal (4/mmm)H-M symbol: (4/m 2/m 2/m),Unknown,Pale metallic gray,"Irregular and foliated masses, inclusions in other minerals",Unknown,"Prismatic, good",Subconchoidal,2 - 2.5,Metallic,Black,Opaque,6.82–6.85,Unknown,Unknown,Unknown,"Distinct in oil, brownish gray to pure gray",Unknown,Unknown,Unknown,Unknown
Jamesonite,Sulfosalt,P21/a,Pb4FeSb6S14,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,grey-black,Unknown,Unknown,{001} good; also possibly {010} and {120},Unknown,2+1⁄2,metallic,grey-black,opaque,5.63,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Janggunite,Oxide mineral,Pman,"Mn5−x(Mn,Fe)1+xO8(OH)6",Unknown,Orthorhombic,Unknown,Unknown,Black,Unknown,Unknown,"Perfect, one direction",Unknown,2 - 3,Dull,Brownish black to dark brown,Unknown,3.59,Biaxial,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jarosewichite,Arsenate mineral,CmmmorC222,Mn2+3Mn3+(AsO4)(OH)6,Unknown,Orthorhombic,Disphenoidal (222)H-M symbol: (2 2 2),Unknown,Very dark red,Prismatic crystals occurring typically as divergent sprays,Unknown,None observed,Irregular – uneven,4,Subvitreous,Reddish orange,Translucent through thin edges,3.66,Biaxial (−),nα= 1.780 nβ= 1.795 nγ= 1.805,δ = 0.025,Weak,Unknown,Unknown,Unknown,Unknown
Jarosite,Sulfate minerals,R3m,500.8 g/mol,Unknown,Trigonal,Rhombohedral (3m)H-M symbol: (3m),Unknown,Amber yellow or dark brown,"Crystals are usually pseudocubic or tabular, also as granular crusts, nodules, fibrous masses or concretionary.",Unknown,Distinct on {0001},Uneven to conchoidal,2.5–3.5,"Subadamantine to vitreous, resinous on fractures",light yellow,Transparent to translucent,2.9 to 3.3,"Uniaxial (−), usually anomalously biaxial with very small 2V",nω= 1.815 to 1.820; nε= 1.713 to 1.715,0.102 to 0.105,"E colorless, very pale yellow, or pale greenish yellow, O deep golden yellow or reddish brown",Unknown,Insoluble in water. Soluble in HCl.,Unknown,Stronglypyroelectric. Non-fluorescent. Barely detectable radioactivity
Jennite,Silicate mineral,P1,"1,063 g/mol",Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,White,"Blade shaped crystals, fibrous aggregates, platy – sheet forms",Unknown,Distinct on [001],Unknown,3.5,Vitreous (glassy),White,Transparent to translucent,Unknown,Biaxial (−),nα= 1.548 – 1.552 nβ= 1.562 – 1.564 nγ= 1.570 – 1.571,δ = 0.022,Unknown,Unknown,Unknown,Unknown,Unknown
Jeremejevite,Borate mineral,P63/m,"Al6B5O15(F,OH)3",Unknown,Hexagonal,Dipyramidal class (6/m)H-M symbol: (6/m),Unknown,"Colorless, white, yellowish, blue, light yellow brown, aquamarine blue, rarely violet; colourless in transmitted light",Prismatic,Unknown,None observed,Conchoidal,6.5 – 7.5,Vitreous,White,Transparent,3.28 – 3.31,Uniaxial (-),nω= 1.653 nε= 1.640,0.0130,Colorless – light blue-violet,Unknown,Unknown,Unknown,Piezoelectric
Jerrygibbsite,Nesosilicates,Pbn21,"(Mn,Zn)9(SiO4)4(OH)2",Unknown,Orthorhombic,Pyramidal (mm2)H-M symbol: (mm2),Unknown,"Violet-pink, with a brownish tinge",Interlocking anhedral crystals,Unknown,Imperfect on {001},Unknown,5.5,Vitreous,Light pink,Alternating transparent and translucent lamellae,4.00,Biaxial (−),nα= 1.772 nβ= 1.783 nγ= 1.789,δ = 0.017,Unknown,Unknown,Unknown,Unknown,Unknown
Jimthompsonite,Inosilicates,Pbca,"(Mg,Fe2+)5Si6O16(OH)2",Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,Colorless to very light pinkish brown,Radiating sprays and fibrous intergrowths,Unknown,Perfect on {210} with 38° and 142° intersecting angle,Unknown,2–2.5,Unknown,Unknown,Unknown,3.02 (calculated),Biaxial (−),nα= 1.605 nβ= 1.626 nγ= 1.633,δ = 0.028,Unknown,Unknown,Unknown,Unknown,Unknown
Jinshajiangite,Sorosilicate,C2/m,BaNaFe4Ti2(Si2O7)2O2(OH)2F,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Johannite,Sulfate mineral,P1,Cu[UO2(OH)SO4]2·8H2O,Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,"Emerald-green, apple-green","Prismatic, tabular, coatings",Simple and repeated lamellar twinning,good on {100},Unknown,2 - 2.5,Vitreous,Pale green,"Transparent, Translucent","3.32, 3.27 (calc.)",Biaxial (+/-),nα= 1.572 - 1.577 ; nβ= 1.592 - 1.597 ; nγ= 1.612 - 1.616,δ = 0.040,strong: x= colorless; y= pale yellow; z= greenish yellow or canary-yellow,Unknown,Unknown,Unknown,"Radioactive, Bitter taste"
Johannsenite,Minerals,Unknown,CaMn2+Si2O6,Unknown,Monoclinic,Unknown,Unknown,"blue-green, grey-white, dark brown, colourless",Unknown,Unknown,Unknown,Unknown,6,Unknown,white,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jôkokuite,Sulfate minerals,P1,MnSO4・5H2O,Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,"Pink, pale pink, light pink, white, colorless",Unknown,Unknown,None,Conchoidal,2.5,Vitreous,White,Transparent to translucent,2.03,Biaxial (−),Unknown,Unknown,Unknown,Unknown,Soluble in water,Unknown,Unknown
Jolliffeite,Selenide mineral,Pa3,"(Ni,Co)AsSe",Unknown,Isometric,Diploidal (m3)H-M symbol: (2m3),Unknown,Tin white,Anhedral grains,Unknown,Unknown,Unknown,6-6.5,Metallic,Unknown,Opaque,Unknown,Isotropic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jonesite,Inosilicates,P21/m,914.93 g/mol,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Colorless,Bladed– Aggregation is thin blade-like crystals and Tabular– Dimensions thin in one direction,Unknown,{010} Distinct,Irregular,3–4,Vitreous,White,Transparent,3.21 g/cm3,"Biaxial (+), a=1.641, b=1.66, g=1.682, bire=0.0410",Index: 1.64 to 1.68,δ = 0.041,Colorless,Unknown,Unknown,Unknown,"Has medium relief and weak dispersion.  Has fluorescent luminescence & white streak
Year of Discovery:1977"
Jordanite,Sulfosalt minerals,P21/m,"Pb14(As,Sb)6S23",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Unknown,Unknown,Unknown,Perfect,Conchoidal,3,Unknown,Black,Unknown,Unknown,Unknown,Unknown,Unknown,Visible,Unknown,Unknown,Unknown,Unknown
Julgoldite,Sorosilicates,A2/m,"(Ca,Mn)2(Fe2+,Fe3+,Mg)(Fe3+,Al)2(SiO4)(Si2O7)(OH)2·(H2O)",Unknown,Monoclinic(Julgoldit-(Mg) unknown),Prismatic (2/m)(sameH-M symbol),Unknown,Black to greenish olive,blades or prisms.,Unknown,[100] Good,Unknown,4.5,sub-metallic,greenish olive,Unknown,3.6,Biaxial (−),nα=1.776 nβ=1.814 nγ=1.836,δ = 0.0600,Unknown,Unknown,Unknown,Unknown,Unknown
Junitoite,Sorosilicate,Ama2[2],CaZn2Si2O7·H2O,Unknown,Orthorhombic,Pyramidal (mm2)H-M group: (mm2),Unknown,"Colorless, milk-white, or colored due to alteration[2]",Unknown,Unknown,Good on {100}; poor on {010} and {011},Micaceous,4.5,"Adamantine, Vitreous, Sub-Vitreous",Colorless,Transparent to translucent[2],Unknown,Biaxial (+),nα= 1.656nβ= 1.664nγ= 1.672,δ = 0.016,Unknown,Unknown,Unknown,Unknown,Unknown
